id,value
"profession.Life, Physical, and Social Science Occupations.Physical Scientists, All Other",1.5.21
"profession.Life, Physical, and Social Science Occupations.Economists",1.5.22
"profession.Life, Physical, and Social Science Occupations.Survey Researchers",1.5.23
"profession.Life, Physical, and Social Science Occupations.IndustrialOrganizational Psychologists",1.5.24
"profession.Life, Physical, and Social Science Occupations.Clinical and Counseling Psychologists",1.5.25
"profession.Life, Physical, and Social Science Occupations.School Psychologists",1.5.26
"profession.Life, Physical, and Social Science Occupations.Psychologists, All Other",1.5.27
"profession.Life, Physical, and Social Science Occupations.Sociologists",1.5.28
"profession.Life, Physical, and Social Science Occupations.Urban and Regional Planners",1.5.29
"profession.Life, Physical, and Social Science Occupations.Anthropologists and Archeologists",1.5.30
"profession.Life, Physical, and Social Science Occupations.Geographers",1.5.31
"profession.Life, Physical, and Social Science Occupations.Historians",1.5.32
"profession.Life, Physical, and Social Science Occupations.Political Scientists",1.5.33
"profession.Life, Physical, and Social Science Occupations.Social Scientists and Related Workers, All Other",1.5.34
"profession.Life, Physical, and Social Science Occupations.Agricultural Technicians",1.5.35
"profession.Life, Physical, and Social Science Occupations.Food Science Technicians",1.5.36
"profession.Life, Physical, and Social Science Occupations.Biological Technicians",1.5.37
"profession.Life, Physical, and Social Science Occupations.Chemical Technicians",1.5.38
"profession.Life, Physical, and Social Science Occupations.Environmental Science and Protection Technicians, Including Health",1.5.39
"profession.Life, Physical, and Social Science Occupations.Geological Technicians, Except Hydrologic Technicians",1.5.40
"profession.Life, Physical, and Social Science Occupations.Hydrologic Technicians",1.5.41
"profession.Life, Physical, and Social Science Occupations.Nuclear Technicians",1.5.42
"profession.Life, Physical, and Social Science Occupations.Social Science Research Assistants",1.5.43
"profession.Life, Physical, and Social Science Occupations.Forest and Conservation Technicians",1.5.44
"profession.Life, Physical, and Social Science Occupations.Forensic Science Technicians",1.5.45
"profession.Life, Physical, and Social Science Occupations.Life, Physical, and Social Science Technicians, All Other",1.5.46
"profession.Life, Physical, and Social Science Occupations.Occupational Health and Safety Specialists",1.5.47
"profession.Life, Physical, and Social Science Occupations.Occupational Health and Safety Technicians",1.5.48
profession.Community and Social Service Occupations,1.6
profession.Community and Social Service Occupations.Substance Abuse and Behavioral Disorder Counselors,1.6.1
"profession.Community and Social Service Occupations.Educational, Guidance, and Career Counselors and Advisors",1.6.2
profession.Community and Social Service Occupations.Marriage and Family Therapists,1.6.3
profession.Community and Social Service Occupations.Mental Health Counselors,1.6.4
profession.Community and Social Service Occupations.Rehabilitation Counselors,1.6.5
"profession.Community and Social Service Occupations.Counselors, All Other",1.6.6
"profession.Community and Social Service Occupations.Child, Family, and School Social Workers",1.6.7
profession.Community and Social Service Occupations.Healthcare Social Workers,1.6.8
profession.Community and Social Service Occupations.Mental Health and Substance Abuse Social Workers,1.6.9
"profession.Community and Social Service Occupations.Social Workers, All Other",1.6.10
profession.Community and Social Service Occupations.Health Education Specialists,1.6.11
profession.Community and Social Service Occupations.Probation Officers and Correctional Treatment Specialists,1.6.12
profession.Community and Social Service Occupations.Social and Human Service Assistants,1.6.13
profession.Community and Social Service Occupations.Community Health Workers,1.6.14
"profession.Community and Social Service Occupations.Community and Social Service Specialists, All Other",1.6.15
profession.Community and Social Service Occupations.Clergy,1.6.16
"profession.Community and Social Service Occupations.Directors, Religious Activities and Education",1.6.17
"profession.Community and Social Service Occupations.Religious Workers, All Other",1.6.18
profession.Legal Occupations,1.7
profession.Legal Occupations.Lawyers,1.7.1
profession.Legal Occupations.Judicial Law Clerks,1.7.2
"profession.Legal Occupations.Administrative Law Judges, Adjudicators, and Hearing Officers",1.7.3
"profession.Legal Occupations.Arbitrators, Mediators, and Conciliators",1.7.4
"profession.Legal Occupations.Judges, Magistrate Judges, and Magistrates",1.7.5
profession.Legal Occupations.Paralegals and Legal Assistants,1.7.6
"profession.Legal Occupations.Title Examiners, Abstractors, and Searchers",1.7.7
"profession.Legal Occupations.Legal Support Workers, All Other",1.7.8
profession.Educational Instruction and Library Occupations,1.8
"profession.Educational Instruction and Library Occupations.Business Teachers, Postsecondary",1.8.1
"profession.Educational Instruction and Library Occupations.Computer Science Teachers, Postsecondary",1.8.2
"profession.Educational Instruction and Library Occupations.Mathematical Science Teachers, Postsecondary",1.8.3
"profession.Educational Instruction and Library Occupations.Architecture Teachers, Postsecondary",1.8.4
"profession.Educational Instruction and Library Occupations.Engineering Teachers, Postsecondary",1.8.5
"profession.Educational Instruction and Library Occupations.Agricultural Sciences Teachers, Postsecondary",1.8.6
"profession.Educational Instruction and Library Occupations.Biological Science Teachers, Postsecondary",1.8.7
"profession.Educational Instruction and Library Occupations.Forestry and Conservation Science Teachers, Postsecondary",1.8.8
"profession.Educational Instruction and Library Occupations.Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.8.9
"profession.Educational Instruction and Library Occupations.Chemistry Teachers, Postsecondary",1.8.10
"profession.Educational Instruction and Library Occupations.Environmental Science Teachers, Postsecondary",1.8.11
"profession.Educational Instruction and Library Occupations.Physics Teachers, Postsecondary",1.8.12
"profession.Educational Instruction and Library Occupations.Anthropology and Archeology Teachers, Postsecondary",1.8.13
"profession.Educational Instruction and Library Occupations.Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.8.14
"profession.Educational Instruction and Library Occupations.Economics Teachers, Postsecondary",1.8.15
"profession.Educational Instruction and Library Occupations.Geography Teachers, Postsecondary",1.8.16
"profession.Educational Instruction and Library Occupations.Political Science Teachers, Postsecondary",1.8.17
"profession.Educational Instruction and Library Occupations.Psychology Teachers, Postsecondary",1.8.18
"profession.Educational Instruction and Library Occupations.Sociology Teachers, Postsecondary",1.8.19
"profession.Educational Instruction and Library Occupations.Social Sciences Teachers, Postsecondary, All Other",1.8.20
"profession.Educational Instruction and Library Occupations.Health Specialties Teachers, Postsecondary",1.8.21
"profession.Educational Instruction and Library Occupations.Nursing Instructors and Teachers, Postsecondary",1.8.22
"profession.Educational Instruction and Library Occupations.Education Teachers, Postsecondary",1.8.23
"profession.Educational Instruction and Library Occupations.Library Science Teachers, Postsecondary",1.8.24
"profession.Educational Instruction and Library Occupations.Criminal Justice and Law Enforcement Teachers, Postsecondary",1.8.25
"profession.Educational Instruction and Library Occupations.Law Teachers, Postsecondary",1.8.26
"profession.Educational Instruction and Library Occupations.Social Work Teachers, Postsecondary",1.8.27
"profession.Educational Instruction and Library Occupations.Art, Drama, and Music Teachers, Postsecondary",1.8.28
"profession.Educational Instruction and Library Occupations.Communications Teachers, Postsecondary",1.8.29
"profession.Educational Instruction and Library Occupations.English Language and Literature Teachers, Postsecondary",1.8.30
"profession.Educational Instruction and Library Occupations.Foreign Language and Literature Teachers, Postsecondary",1.8.31
"profession.Educational Instruction and Library Occupations.History Teachers, Postsecondary",1.8.32
"profession.Educational Instruction and Library Occupations.Philosophy and Religion Teachers, Postsecondary",1.8.33
"profession.Educational Instruction and Library Occupations.Family and Consumer Sciences Teachers, Postsecondary",1.8.34
"profession.Educational Instruction and Library Occupations.Recreation and Fitness Studies Teachers, Postsecondary",1.8.35
"profession.Educational Instruction and Library Occupations.Career/Technical Education Teachers, Postsecondary",1.8.36
